OrigTrialNum,Subj,Subj_Ranked,SexFM,StyleDR,Block,Trial,MinDist,HitFlag,t_throwOnset,t_HSmax,t_MinDist,t_InterTrial,PeakHandSpeed,PeakTipSpeed,WhipExt_PeakHand,WhipAzAng_PeakHand,HandAzAng_PeakHand
900,3,11,1,2,5,1,0.232978010617346,0,0.642,0.842,1.038,NaN,5.63800320908461,32.9278891708817,1.51178536504014,17.6562182055505,60.8413445794285
901,3,11,1,2,5,2,0.025578826261792,1,0.638,0.874,1.076,1.07,6.06019351744788,31.2072505438338,1.53747789637344,23.6134123313673,49.7727806272314
902,3,11,1,2,5,3,0.134624280474287,0,0.676,0.908,1.092,1.112,6.49848041141664,37.8295485008233,1.4740854805951,16.0974837608681,40.5696327672547
903,3,11,1,2,5,4,0.23612907312509,0,0.566,0.83,1.032,1.014,5.59738994136497,30.7375697297684,1.52460725957239,34.4264466562752,42.6542118536685
904,3,11,1,2,5,5,0.274611252063141,0,0.676,0.936,1.126,1.138,6.84782991263101,25.8325609046851,1.43951675856847,38.1492350083923,43.03464256201
905,3,11,1,2,5,6,0.0492306361294827,1,0.694,0.914,1.092,1.104,7.08091595662466,23.8745604884882,1.52222349552158,23.7622652078051,47.7624788980195
906,3,11,1,2,5,7,0.227101952434151,0,0.77,0.958,1.148,1.14,7.46207497639392,31.5126703857793,1.38304565046252,-18.7941652145582,25.461320955714
907,3,11,1,2,5,8,0.347514516216769,0,0.688,0.946,1.132,1.136,6.42981145546765,22.3525839780963,1.4983115182727,45.1175236997138,51.0562736098085
908,3,11,1,2,5,9,0.157904498999494,1,0.656,0.886,1.076,1.08,6.29477659538476,32.2673653993349,1.49071859929236,19.6564484103027,52.7867075753919
909,3,11,1,2,5,10,0.0103430620574833,1,0.644,0.904,1.094,1.096,6.12737057517092,31.5938885235964,1.49393012374484,16.566238140224,40.0765340159312
910,3,11,1,2,5,11,0.131493628018926,0,0.73,0.976,1.146,1.166,6.35790669038174,38.7102823207981,1.48364476685907,10.1547019005688,49.5588648123968
911,3,11,1,2,5,12,0.276045007238607,0,0.644,0.886,1.08,1.058,6.35558555387545,24.1268023270839,1.47143816842786,38.9022871915655,50.045247070701
912,3,11,1,2,5,13,0.0657053897987988,1,0.67,0.906,1.092,1.1,6.13591190746101,25.4988934117509,1.44965082000019,20.0792357407994,57.2641895770287
913,3,11,1,2,5,14,0.109092409665928,0,0.748,0.946,1.136,1.132,6.53650397050866,35.8482672871616,1.51043784171989,3.2341545537308,36.5235649444035
914,3,11,1,2,5,15,0.283436959786702,0,0.668,0.928,1.116,1.118,6.17853608156276,26.6288947405354,1.49182815954376,35.2912337421032,58.0974577171947
915,3,11,1,2,5,16,0.106206654569552,0,0.628,0.868,1.046,1.056,6.46293893335204,34.0883306431156,1.43221462405666,8.16344952653432,54.6417847622034
916,3,11,1,2,5,17,0.110433365106543,0,0.66,0.936,1.118,1.112,5.99624266864574,36.0870756309289,1.52129911548676,19.6909242450551,56.3064853104724
917,3,11,1,2,5,18,0.0918790308504137,0,0.592,0.874,1.06,1.056,6.05979003111861,33.9628382643611,1.48783835516154,27.1603504471423,47.9938984135851
918,3,11,1,2,5,19,0.0786575536309626,0,0.644,0.926,1.12,1.112,5.61978415911529,30.8945876369689,1.49457115691768,13.0906372257515,42.6791457842566
919,3,11,1,2,5,20,0.0246822082902456,1,0.612,0.868,1.058,1.062,5.83355179749108,31.3081702407586,1.5230476137497,7.39644321723337,44.7533722657523
920,3,11,1,2,5,21,0.0578207948900009,0,0.708,0.928,1.11,1.118,6.69020214916679,34.9151853142349,1.50121338424171,-0.955397080368982,39.5405764774992
921,3,11,1,2,5,22,0.183592580468788,0,0.638,0.87,1.054,1.052,6.41179818996187,30.5160274761954,1.52557841909645,29.1257882059168,50.5645376917459
922,3,11,1,2,5,23,0.0218052469524158,1,0.622,0.866,1.052,1.052,6.07979092627764,31.5621742494595,1.48215235090035,11.860503764016,39.360788506965
923,3,11,1,2,5,24,0.0312814506059396,0,0.668,0.904,1.088,1.09,6.57354031264612,35.5873815439174,1.51453685091261,-12.4647430348712,17.8960730367818
924,3,11,1,2,5,25,0.158530889059807,0,0.656,0.91,1.086,1.092,6.04869575780024,28.9814385723228,1.50310055026304,NaN,NaN
925,3,11,1,2,5,26,0.114497740717768,0,0.628,0.864,1.048,1.04,6.3852518244715,34.2018552115654,1.48752382863219,12.6530654453729,30.0686463704732
926,3,11,1,2,5,27,0.176191190416876,0,0.628,0.878,1.068,1.06,5.6870506984959,29.9583191973627,1.51387972796006,15.6336388643058,36.828016728845
